time,Open,High,Low,Close,Volume,returns,volatility,price,quote_qty,is_buyer_maker,quote_qty_cal,Short_MA_6,Long_MA_13,MACD_613,Signal_Line_4,MACD_Oscillator613,Short_MA_12,Long_MA_26,MACD_1226,Signal_Line_9,MACD_Oscillator1226,atr,highest_high,lowest_low,%K,%D,upper_band,lower_band
2023-03-24 21:00,27577,27618.2,26960,27315.1,65393.412,-0.009497045,0.006737528,27242.42887,21129.15326,262091,1781475375,27619.17805,27769.08523,-149.907183,-114.6039346,-35.30324845,27753.64619,27870.50097,-116.8547859,-46.9921686,-69.86261728,381.2785714,28289.1,26960,26.71732751,34.02125666,28471.80244,27415.41774
2023-03-24 22:00,27315,27427.3,27255.1,27279.4,18013.618,-0.001306969,0.006735338,27349.6656,10041.04365,93390,492666428.6,27522.09861,27699.1302,-177.0315928,-139.5749979,-37.45659492,27680.68524,27826.71572,-146.0304805,-66.79983098,-79.23064952,367.2571429,28260,26960,24.56923077,25.934283,28471.80393,27327.1772
2023-03-24 23:00,27279.4,27504,27263.1,27438.9,15010.686,0.005846903,0.006912823,27401.51556,10087.54085,71244,411315546,27498.32758,27661.95446,-163.6268807,-149.195751,-14.43112969,27643.48751,27797.98863,-154.501119,-84.34008858,-70.16103038,370.0571429,28260,26960,36.83846154,29.37500661,28455.11652,27264.33985
2023-03-25 0:00,27439,27571.8,27409.9,27538,12655.919,0.003611661,0.006984327,27495.15429,13014.52199,58793,347976445.6,27509.66256,27644.24668,-134.584123,-143.3510998,8.766976773,27627.25866,27778.73021,-151.4715494,-97.76638075,-53.70516869,370.7142857,28260,26960,44.46153846,35.28974359,28422.82799,27228.56672
2023-03-25 1:00,27538,27549.7,27400,27485.1,10431.08,-0.001920982,0.006818564,27477.97045,10853.76871,52945,286624908,27502.64468,27621.51144,-118.8667562,-133.5573624,14.69060617,27605.3881,27756.97982,-151.5917266,-108.5314499,-43.06027669,326.3857143,28260,26960,40.39230769,40.56410256,28372.963,27203.39867
2023-03-25 2:00,27485.1,27648.4,27444,27585.5,12268.673,0.003652888,0.006910871,27563.08236,9253.963931,55299,338162444.3,27526.31763,27616.36695,-90.04931705,-116.1541442,26.10482718,27602.32839,27744.27761,-141.9492247,-115.2150049,-26.73421979,294.9857143,28260,26960,48.11538462,44.32307692,28298.86543,27206.67458
2023-03-25 3:00,27585.6,27632.4,27529,27568.6,7157.886,-0.000612641,0.006898316,27577.6486,7955.112285,38613,197397664.8,27538.39831,27609.5431,-71.14479035,-98.15040268,27.00561233,27597.13941,27731.26446,-134.125051,-118.9970141,-15.12803695,276.5928571,28260,26960,46.81538462,45.10769231,28219.90004,27219.46678
2023-03-25 4:00,27568.6,27598,27472.3,27525,8332.153,-0.001581509,0.006669522,27544.31494,9989.273386,40096,229503446.4,27534.57022,27597.46551,-62.89529277,-84.04835872,21.15306595,27586.04104,27715.98561,-129.9445726,-121.1865258,-8.758046773,252.8357143,28069.7,26960,50.91466162,48.61514362,28168.53157,27217.21348
2023-03-25 5:00,27524.9,27534.6,27360,27449.6,11832.108,-0.002739328,0.006676782,27455.9051,11910.26462,56914,324861234.4,27510.29301,27576.34187,-66.04885373,-76.84855672,10.79970299,27565.05011,27696.25334,-131.2032339,-123.1898674,-8.013366486,248.0214286,28040,26960,45.33333333,47.68779319,28112.53151,27211.19243
2023-03-25 6:00,27449.5,27524.3,27384.9,27481,10575.465,0.001143915,0.006691044,27460.51306,10557.77921,48141,290407694.8,27501.92358,27562.7216,-60.79801947,-70.42834182,9.630322353,27552.11932,27680.30865,-128.1893277,-124.1897595,-3.999568245,241.6714286,27903.3,26960,55.23163363,50.49320953,28065.42767,27204.78747
